True
device: cuda
{'weight': 'resnet', 'one_hot': True, 'lr': 0.001, 'optimizer': 'Adam', 'weight_decay': 1e-05, 'batch_size': 256, 'epochs': 100, 'channels': [16, 32, 64], 'drop_out': 0.2}
stack num: 20
x: torch.Size([256, 4, 1000])
y: torch.Size([256, 36])

------- Start Training --------
Traceback (most recent call last):
  File "/home/wenduoc/mambaforge/envs/geneorca/lib/python3.8/multiprocessing/queues.py", line 245, in _feed
    send_bytes(obj)
  File "/home/wenduoc/mambaforge/envs/geneorca/lib/python3.8/multiprocessing/connection.py", line 200, in send_bytes
    self._send_bytes(m[offset:offset + size])
  File "/home/wenduoc/mambaforge/envs/geneorca/lib/python3.8/multiprocessing/connection.py", line 411, in _send_bytes
    self._send(header + buf)
  File "/home/wenduoc/mambaforge/envs/geneorca/lib/python3.8/multiprocessing/connection.py", line 368, in _send
    n = write(self._handle, buf)
BrokenPipeError: [Errno 32] Broken pipe
[train full 0 0.001000 ] time elapsed: 52.5152 	train loss: 0.8259 	val loss: 0.8599 	val score: 0.3601 	best val score: 0.3601
[train full 1 0.001000 ] time elapsed: 43.4692 	train loss: 0.8095 	val loss: 0.8390 	val score: 0.3475 	best val score: 0.3475
[train full 2 0.001000 ] time elapsed: 43.0837 	train loss: 0.7863 	val loss: 0.8327 	val score: 0.3097 	best val score: 0.3097
[train full 3 0.001000 ] time elapsed: 42.2943 	train loss: 0.7703 	val loss: 0.8578 	val score: 0.3046 	best val score: 0.3046
[train full 4 0.001000 ] time elapsed: 42.3011 	train loss: 0.7615 	val loss: 0.8581 	val score: 0.2943 	best val score: 0.2943
[train full 5 0.001000 ] time elapsed: 42.3907 	train loss: 0.7520 	val loss: 0.7600 	val score: 0.2756 	best val score: 0.2756
[train full 6 0.001000 ] time elapsed: 47.2937 	train loss: 0.7468 	val loss: 0.7648 	val score: 0.2762 	best val score: 0.2756
[train full 7 0.001000 ] time elapsed: 42.5503 	train loss: 0.7406 	val loss: 0.7551 	val score: 0.2748 	best val score: 0.2748
[train full 8 0.001000 ] time elapsed: 42.2676 	train loss: 0.7390 	val loss: 0.7887 	val score: 0.2904 	best val score: 0.2748
[train full 9 0.001000 ] time elapsed: 43.3019 	train loss: 0.7299 	val loss: 0.7638 	val score: 0.2731 	best val score: 0.2731
[train full 10 0.001000 ] time elapsed: 42.3210 	train loss: 0.7241 	val loss: 0.7774 	val score: 0.2771 	best val score: 0.2731
[train full 11 0.001000 ] time elapsed: 42.9376 	train loss: 0.7177 	val loss: 0.7738 	val score: 0.2706 	best val score: 0.2706
[train full 12 0.001000 ] time elapsed: 42.3782 	train loss: 0.7115 	val loss: 0.7712 	val score: 0.2700 	best val score: 0.2700
[train full 13 0.001000 ] time elapsed: 42.3579 	train loss: 0.7066 	val loss: 0.7675 	val score: 0.2679 	best val score: 0.2679
[train full 14 0.001000 ] time elapsed: 42.2698 	train loss: 0.7024 	val loss: 0.7652 	val score: 0.2717 	best val score: 0.2679
[train full 15 0.001000 ] time elapsed: 42.4885 	train loss: 0.7021 	val loss: 0.7831 	val score: 0.2841 	best val score: 0.2679
